Round,Accuracy
1,9.84
2,11.16
3,10.49
4,9.18
5,10.46
6,12.06
7,11.21
8,9.96
9,8.83
10,7.51
11,10.41
12,11.96
13,10.65
14,10.06
15,9.56
16,8.96
17,7.99
18,10.56
19,10.23
20,10.67
21,8.92
22,10.35
23,11.24
24,10.09
25,10.97
26,11.0
27,9.21
28,9.81
29,9.97
30,9.53
31,8.76
32,9.45
33,9.09
34,9.94
35,7.96
36,7.4
37,7.87
38,8.81
39,9.2
40,9.6
41,10.07
42,9.97
43,8.79
44,8.55
45,9.78
46,8.76
47,10.01
48,10.13
49,9.96
50,10.26
51,9.7
52,10.02
53,10.71
54,11.79
55,10.3
56,9.31
57,9.37
58,9.76
59,10.51
60,11.32
61,11.44
62,11.2
63,9.94
64,8.68
65,9.03
66,8.84
67,9.26
68,8.41
69,9.44
70,10.58
71,10.17
72,10.53
73,10.54
74,11.47
75,11.89
76,12.03
77,11.38
78,11.1
79,10.53
80,9.6
81,9.46
82,11.16
83,11.82
84,10.39
85,10.32
86,9.83
87,9.92
88,10.91
89,10.75
90,9.76
91,11.5
92,11.05
93,10.03
94,9.76
95,10.26
96,11.58
97,11.35
98,11.12
99,12.28
100,12.67
101,10.38
102,10.36
103,11.58
104,11.72
105,11.54
106,11.33
107,10.45
108,11.16
109,11.97
110,11.47
111,12.23
112,13.06
113,12.35
114,12.75
115,13.37
116,13.22
117,13.34
118,12.01
119,12.24
120,12.12
121,12.45
122,12.65
123,12.02
124,12.49
125,11.27
126,11.14
127,11.31
128,12.03
129,12.41
130,12.36
131,12.36
132,12.36
133,12.29
134,12.23
135,12.44
136,12.41
137,12.62
138,11.55
139,11.06
140,10.69
141,10.2
142,10.73
143,11.03
144,10.84
145,10.73
146,10.09
147,9.56
148,9.78
149,9.17
150,9.02
151,8.79
152,8.85
153,8.85
154,9.09
155,9.47
156,9.58
157,9.67
158,9.37
159,9.1
160,9.33
161,9.43
162,9.96
163,10.65
164,9.89
165,10.09
166,10.38
167,10.12
168,10.1
169,9.26
170,9.3
171,9.75
172,9.4
173,9.16
174,9.16
175,9.85
176,9.76
177,9.95
178,9.46
179,10.72
180,11.38
181,11.44
182,11.24
183,10.26
184,11.19
185,10.54
186,11.52
187,11.53
188,11.63
189,12.07
190,11.94
191,11.5
192,11.86
193,11.41
194,11.16
195,10.75
196,10.85
197,10.29
198,10.2
199,10.22
200,10.29
