Dataset,Epsilon,ART MIA Accuracy,TPR,FPR,Precision,Loss Attack Overall Accuracy,Avg Member Loss,Avg Non-Member Loss,Loss Attack Threshold,Global Model Accuracy
mnist,none,51.40,0.622,0.594,0.512,51.85,0.0293,0.1195,0.0744,97.22
mnist,75.0,49.55,0.139,0.148,0.484,50.00,1.8671,1.8512,1.8592,77.11
mnist,50.0,49.45,0.397,0.408,0.493,49.80,6.0377,5.6727,5.8552,62.67
mnist,25.0,50.10,0.528,0.526,0.501,50.45,45.3689,46.7958,46.0823,43.27
mnist,10.0,50.70,0.141,0.127,0.526,50.45,1728.1191,1700.7178,1714.4185,24.95
mnist,5.0,51.50,0.534,0.504,0.514,48.50,17670.8711,16278.8262,16974.8477,21.62
mnist,1.0,50.30,0.427,0.421,0.504,50.00,3275967.7500,3302081.5000,3289024.5000,12.32
mnist,0.1,50.25,0.680,0.675,0.502,50.05,4708412928.0000,4750573568.0000,4729493504.0000,9.57
mnist,0.01,50.30,0.637,0.631,0.502,49.10,5205646639104.0000,5174911827968.0000,5190279233536.0000,13.34
mnist,0.001,51.15,0.602,0.579,0.510,49.65,4232681143402496.0000,4096151380819968.0000,4164416396328960.0000,9.38
fashionmnist,none,50.20,0.406,0.402,0.502,50.05,0.3048,0.3252,0.3150,88.49
fashionmnist,75.0,50.05,0.702,0.701,0.500,49.95,1.7629,1.8749,1.8189,70.80
fashionmnist,50.0,49.95,0.001,0.002,0.333,49.45,4.3416,3.9938,4.1677,63.07
fashionmnist,25.0,50.25,0.979,0.974,0.501,49.20,28.4982,27.2959,27.8971,46.09
fashionmnist,10.0,49.40,0.969,0.981,0.497,51.40,904.0175,933.7370,918.8773,30.35
fashionmnist,5.0,50.10,0.376,0.374,0.501,51.50,8157.1362,8402.8438,8279.9902,23.76
fashionmnist,1.0,50.00,1.000,1.000,0.500,50.80,2488123.0000,2598718.0000,2543420.5000,18.08
fashionmnist,0.1,49.95,0.001,0.002,0.333,50.20,3303916032.0000,3239458816.0000,3271687424.0000,14.46
fashionmnist,0.01,49.50,0.867,0.877,0.497,52.15,3911879229440.0000,4046502756352.0000,3979190992896.0000,5.22
fashionmnist,0.001,49.95,0.014,0.015,0.483,51.55,5153794862088192.0000,5443180631687168.0000,5298487478452224.0000,12.38
cifar10,none,50.60,0.386,0.374,0.508,61.05,0.2342,1.1686,0.7014,69.49
cifar10,75.0,48.90,0.461,0.483,0.488,50.65,2.6114,2.6488,2.6301,20.46
cifar10,50.0,49.45,0.668,0.679,0.496,50.05,4.2532,4.2159,4.2346,14.42
cifar10,25.0,49.90,0.829,0.831,0.499,49.90,58.8598,53.9072,56.3835,10.72
cifar10,10.0,49.00,0.363,0.383,0.487,50.65,168146.1406,163989.7188,166067.9375,11.87
cifar10,5.0,50.40,0.673,0.665,0.503,52.65,8035624.0000,8802591.0000,8419108.0000,10.29
cifar10,1.0,51.05,0.312,0.291,0.517,50.20,49779261440.0000,50510827520.0000,50145042432.0000,10.23
cifar10,0.1,50.55,0.922,0.911,0.503,49.90,4792224650887168.0000,4804040105918464.0000,4798132378402816.0000,9.75
cifar10,0.01,49.95,0.999,1.000,0.500,50.30,1026951249060922654720.0000,1040944003471906963456.0000,1033947661450786897920.0000,9.30
cifar10,0.001,50.35,0.994,0.987,0.502,50.10,89172529306375842263203840.0000,87001716463781702229032960.0000,88087122885078772246118400.0000,9.87
