Dataset,Epsilon,ART MIA Accuracy,TPR,FPR,Precision,Loss Attack Overall Accuracy,Avg Member Loss,Avg Non-Member Loss,Loss Attack Threshold,Global Model Accuracy
cifar10,none,50.95,0.430,0.411,0.511,50.20,0.4395,0.3835,0.4115,88.64
cifar10,75.0,49.95,0.824,0.825,0.500,49.20,1.7868,1.7397,1.7632,37.78
cifar10,50.0,48.95,0.622,0.643,0.492,49.60,1.8637,1.7806,1.8221,37.55
cifar10,25.0,49.90,0.029,0.031,0.483,50.20,1.7631,1.8458,1.8045,38.43
cifar10,10.0,48.45,0.329,0.360,0.478,51.15,1.8287,1.8731,1.8509,38.77
cifar10,5.0,49.50,0.568,0.578,0.496,50.25,1.8293,1.8634,1.8463,37.27
cifar10,1.0,49.65,0.669,0.676,0.497,51.35,1.7346,1.8242,1.7794,38.08
cifar10,0.1,51.20,0.319,0.295,0.520,51.30,1.8669,1.8958,1.8813,37.33
cifar10,0.01,50.00,0.021,0.021,0.500,48.60,7217.3672,7062.7827,7140.0752,9.59
cifar10,0.001,51.40,0.319,0.291,0.523,49.75,4241623552.0000,4166512128.0000,4204067840.0000,9.91
fashionmnist,none,49.30,0.396,0.410,0.491,49.05,0.2730,0.2697,0.2713,90.58
fashionmnist,75.0,51.05,0.355,0.334,0.515,49.00,0.8476,0.7895,0.8186,78.95
fashionmnist,50.0,49.80,0.414,0.418,0.498,50.45,0.7061,0.7066,0.7064,78.32
fashionmnist,25.0,50.00,1.000,1.000,0.500,49.95,0.8286,0.7886,0.8086,79.27
fashionmnist,10.0,47.85,0.359,0.402,0.472,48.75,0.7852,0.7318,0.7585,79.18
fashionmnist,5.0,49.00,0.896,0.916,0.494,48.80,0.7840,0.6762,0.7301,79.22
fashionmnist,1.0,50.30,0.233,0.227,0.507,50.40,0.7810,0.8006,0.7908,78.46
fashionmnist,0.1,50.05,0.685,0.684,0.500,49.70,1.0394,0.8684,0.9539,77.85
fashionmnist,0.01,50.10,0.977,0.975,0.501,51.10,169.9368,172.5134,171.2251,37.34
fashionmnist,0.001,49.45,0.693,0.704,0.496,50.10,760190.3750,759190.8125,759690.6250,5.54
mnist,none,49.10,0.705,0.723,0.494,50.25,0.0462,0.0364,0.0413,98.93
mnist,75.0,50.30,0.584,0.578,0.503,50.90,0.4527,0.4938,0.4732,90.34
mnist,50.0,51.10,0.249,0.227,0.523,50.55,0.4187,0.4640,0.4413,89.80
mnist,25.0,48.80,0.160,0.184,0.465,49.35,0.5132,0.4414,0.4773,90.20
mnist,10.0,48.65,0.258,0.285,0.475,49.25,0.4750,0.4132,0.4441,90.30
mnist,5.0,51.20,0.640,0.616,0.510,51.35,0.3262,0.5407,0.4334,89.85
mnist,1.0,49.00,0.374,0.394,0.487,50.25,0.5105,0.5033,0.5069,90.00
mnist,0.1,51.55,0.264,0.233,0.531,49.25,0.7228,0.6084,0.6656,87.31
mnist,0.01,50.25,0.010,0.005,0.667,48.95,285.7922,276.0243,280.9083,30.86
mnist,0.001,50.05,0.624,0.623,0.500,50.20,1128113.3750,1137705.3750,1132909.3750,8.63
