Dataset,Epsilon,Threshold Attack Accuracy,Loss Threshold,Avg Train Loss,Avg Test Loss
mnist,none,50.5,0.04393731,0.04393731,0.08882224
mnist,75.0,49.5,2.0056806,2.0056806,1.744322
mnist,50.0,48.199999999999996,6.1101727,6.1101727,5.0715165
mnist,25.0,49.4,46.210655,46.210655,43.45534
mnist,10.0,48.55,1687.6411,1687.6411,1620.6296
mnist,5.0,50.6,17124.54,17124.54,17254.049
mnist,1.0,50.64999999999999,3204884.0,3204884.0,3281739.2
mnist,0.1,49.85,4642392000.0,4642392000.0,4606980600.0
mnist,0.01,49.8,4837171300000.0,4837171300000.0,4950876000000.0
mnist,0.001,48.75,4127677800000000.0,4127677800000000.0,4066548600000000.0
fashionmnist,none,51.24999999999999,0.2887816,0.2887816,0.33977073
fashionmnist,75.0,50.05,1.810472,1.810472,1.7774731
fashionmnist,50.0,50.9,4.1217685,4.1217685,4.319428
fashionmnist,25.0,50.2,30.135067,30.135067,29.688364
fashionmnist,10.0,48.8,933.0662,933.0662,940.99115
fashionmnist,5.0,50.2,8294.654,8294.654,8674.44
fashionmnist,1.0,49.8,2538560.5,2538560.5,2547735.8
fashionmnist,0.1,50.7,3105069000.0,3105069000.0,3232973300.0
fashionmnist,0.01,50.24999999999999,3924235400000.0,3924235400000.0,3874147500000.0
fashionmnist,0.001,50.449999999999996,5505846400000000.0,5505846400000000.0,5438414300000000.0
cifar10,none,59.9,0.3610436,0.3610436,1.122787
cifar10,75.0,49.7,2.6417964,2.6417964,2.61423
cifar10,50.0,50.8,4.068364,4.068364,4.274321
cifar10,25.0,49.35,65.905495,65.905495,61.786453
cifar10,10.0,48.75,166237.7,166237.7,161515.55
cifar10,5.0,48.9,8556351.0,8556351.0,8321703.0
cifar10,1.0,50.14999999999999,50037174000.0,50037174000.0,49979860000.0
cifar10,0.1,48.3,4854625000000000.0,4854625000000000.0,4566059000000000.0
cifar10,0.01,50.7,9.974611e+20,9.974611e+20,1.0146544e+21
cifar10,0.001,49.75,8.81675e+25,8.81675e+25,8.910384e+25
