dataset,epsilon,split,type,mode_value,mode_freq
mnist,50.0,members,softmax,0.9923523664474487,45155
mnist,50.0,members,logit,14.011244773864746,4026
mnist,50.0,nonmembers,softmax,0.9928734302520752,7568
mnist,50.0,nonmembers,logit,14.471421241760254,629
fashionmnist,0.01,members,softmax,0.9946015477180481,58412
fashionmnist,0.01,members,logit,408.3011169433594,5026
fashionmnist,0.01,nonmembers,softmax,0.9949133396148682,9716
fashionmnist,0.01,nonmembers,logit,427.14898681640625,736
cifar10,10.0,members,softmax,0.33666330575942993,2212
cifar10,10.0,members,logit,2.5572075843811035,3536
cifar10,10.0,nonmembers,softmax,0.3108644485473633,421
cifar10,10.0,nonmembers,logit,2.3658204078674316,689
fashionmnist,0.1,members,softmax,0.9924632906913757,36561
fashionmnist,0.1,members,logit,13.583747863769531,3095
fashionmnist,0.1,nonmembers,softmax,0.9924846887588501,6060
fashionmnist,0.1,nonmembers,logit,12.578537940979004,517
mnist,0.001,members,softmax,0.9999970197677612,59999
mnist,0.001,members,logit,881835.625,4377
mnist,0.001,nonmembers,softmax,0.9999993443489075,9999
mnist,0.001,nonmembers,logit,957350.75,715
cifar10,0.001,members,softmax,1.0099999904632568,50000
cifar10,0.001,members,logit,3661392896.0,4460
cifar10,0.001,nonmembers,softmax,1.0099999904632568,10000
cifar10,0.001,nonmembers,logit,3533835776.0,687
fashionmnist,1.0,members,softmax,0.9922776222229004,34366
fashionmnist,1.0,members,logit,9.424493789672852,2517
fashionmnist,1.0,nonmembers,softmax,0.9922566413879395,5637
fashionmnist,1.0,nonmembers,logit,9.820754051208496,457
cifar10,50.0,members,softmax,0.29149550199508667,2393
cifar10,50.0,members,logit,3.3948731422424316,3492
cifar10,50.0,nonmembers,softmax,0.30077844858169556,472
cifar10,50.0,nonmembers,logit,3.454824447631836,737
fashionmnist,25.0,members,softmax,0.9924136400222778,34216
fashionmnist,25.0,members,logit,9.421022415161133,2462
fashionmnist,25.0,nonmembers,softmax,0.9925720691680908,5578
fashionmnist,25.0,nonmembers,logit,9.872745513916016,419
mnist,10.0,members,softmax,0.9923920035362244,45119
mnist,10.0,members,logit,14.286256790161133,4118
mnist,10.0,nonmembers,softmax,0.9923728704452515,7624
mnist,10.0,nonmembers,logit,14.747879028320312,660
fashionmnist,75.0,members,softmax,0.9921393394470215,34277
fashionmnist,75.0,members,logit,9.649690628051758,2593
fashionmnist,75.0,nonmembers,softmax,0.9927947521209717,5555
fashionmnist,75.0,nonmembers,logit,9.26681137084961,429
cifar10,5.0,members,softmax,0.30913975834846497,2394
cifar10,5.0,members,logit,2.482008457183838,3966
cifar10,5.0,nonmembers,softmax,0.3372217118740082,477
cifar10,5.0,nonmembers,logit,2.4259209632873535,820
mnist,1.0,members,softmax,0.992155909538269,45190
mnist,1.0,members,logit,14.606441497802734,4069
mnist,1.0,nonmembers,softmax,0.9924466609954834,7609
mnist,1.0,nonmembers,logit,15.148954391479492,624
mnist,0.1,members,softmax,0.9925447702407837,44821
mnist,0.1,members,logit,17.928409576416016,3945
mnist,0.1,nonmembers,softmax,0.9928752183914185,7487
mnist,0.1,nonmembers,logit,17.867599487304688,609
cifar10,none,members,softmax,0.9920207262039185,21191
cifar10,none,members,logit,9.289104461669922,3736
cifar10,none,nonmembers,softmax,0.9922768473625183,3693
cifar10,none,nonmembers,logit,8.077383041381836,691
mnist,none,members,softmax,0.9930886030197144,51487
mnist,none,members,logit,11.512516021728516,3088
mnist,none,nonmembers,softmax,0.9929284453392029,8603
mnist,none,nonmembers,logit,14.508329391479492,512
fashionmnist,0.001,members,softmax,0.9999957084655762,59999
fashionmnist,0.001,members,logit,1056876.75,4678
fashionmnist,0.001,nonmembers,softmax,1.0099999904632568,10000
fashionmnist,0.001,nonmembers,logit,1014848.1875,742
fashionmnist,5.0,members,softmax,0.9922255873680115,34103
fashionmnist,5.0,members,logit,9.083423614501953,2506
fashionmnist,5.0,nonmembers,softmax,0.9928591251373291,5511
fashionmnist,5.0,nonmembers,logit,10.193174362182617,424
fashionmnist,none,members,softmax,0.9918951988220215,29371
fashionmnist,none,members,logit,9.37923812866211,3392
fashionmnist,none,nonmembers,softmax,0.9921672344207764,4837
fashionmnist,none,nonmembers,logit,9.607941627502441,534
cifar10,75.0,members,softmax,0.3302384614944458,2225
cifar10,75.0,members,logit,2.470468044281006,4222
cifar10,75.0,nonmembers,softmax,0.2867515981197357,449
cifar10,75.0,nonmembers,logit,2.5813965797424316,834
mnist,75.0,members,softmax,0.9921070337295532,45208
mnist,75.0,members,logit,13.552074432373047,3949
mnist,75.0,nonmembers,softmax,0.9927400350570679,7596
mnist,75.0,nonmembers,logit,14.99819278717041,642
fashionmnist,10.0,members,softmax,0.9923355579376221,34389
fashionmnist,10.0,members,logit,9.170767784118652,2678
fashionmnist,10.0,nonmembers,softmax,0.9925432801246643,5655
fashionmnist,10.0,nonmembers,logit,11.117462158203125,461
cifar10,0.01,members,softmax,0.9950335621833801,49927
cifar10,0.01,members,logit,2996.73779296875,6057
cifar10,0.01,nonmembers,softmax,0.9950970411300659,9984
cifar10,0.01,nonmembers,logit,3008.60400390625,859
mnist,5.0,members,softmax,0.9923888444900513,45335
mnist,5.0,members,logit,14.533976554870605,3846
mnist,5.0,nonmembers,softmax,0.9927915930747986,7640
mnist,5.0,nonmembers,logit,15.836492538452148,632
mnist,25.0,members,softmax,0.9925576448440552,45077
mnist,25.0,members,logit,13.307193756103516,4023
mnist,25.0,nonmembers,softmax,0.9930703639984131,7582
mnist,25.0,nonmembers,logit,13.761951446533203,659
cifar10,0.1,members,softmax,0.34489747881889343,2255
cifar10,0.1,members,logit,2.5014657974243164,5284
cifar10,0.1,nonmembers,softmax,0.42077523469924927,445
cifar10,0.1,nonmembers,logit,2.746095657348633,999
cifar10,1.0,members,softmax,0.2812942862510681,2332
cifar10,1.0,members,logit,1.7961336374282837,4170
cifar10,1.0,nonmembers,softmax,0.2979432940483093,496
cifar10,1.0,nonmembers,logit,1.5154716968536377,874
mnist,0.01,members,softmax,0.9938321113586426,58737
mnist,0.01,members,logit,242.52760314941406,7392
mnist,0.01,nonmembers,softmax,0.995010256767273,9769
mnist,0.01,nonmembers,logit,258.6725158691406,1054
cifar10,25.0,members,softmax,0.2987681031227112,2178
cifar10,25.0,members,logit,2.454702854156494,3744
cifar10,25.0,nonmembers,softmax,0.30639129877090454,438
cifar10,25.0,nonmembers,logit,2.581055164337158,786
fashionmnist,50.0,members,softmax,0.9923864603042603,33787
fashionmnist,50.0,members,logit,10.189065933227539,2641
fashionmnist,50.0,nonmembers,softmax,0.9927120208740234,5505
fashionmnist,50.0,nonmembers,logit,9.895362854003906,461
