Round,Accuracy
1,70.17
2,76.4
3,81.27
4,83.84
5,86.05
6,87.05
7,87.94
8,88.49
9,88.92
10,89.21
11,89.44
12,89.7
13,89.92
14,90.06
15,90.17
16,90.38
17,90.48
18,90.52
19,90.66
20,90.78
21,90.98
22,90.92
23,90.99
24,91.1
25,91.26
26,91.28
27,91.43
28,91.5
29,91.56
30,91.76
31,91.79
32,91.83
33,91.92
34,91.96
35,92.04
36,92.13
37,92.16
38,92.24
39,92.27
40,92.28
41,92.39
42,92.44
43,92.46
44,92.42
45,92.45
46,92.59
47,92.51
48,92.57
49,92.59
50,92.67
51,92.7
52,92.7
53,92.75
54,92.87
55,92.82
56,92.86
57,92.89
58,92.9
59,92.97
60,93.07
61,93.05
62,93.0
63,93.11
64,93.12
65,93.21
66,93.26
67,93.24
68,93.27
69,93.3
70,93.33
71,93.31
72,93.36
73,93.35
74,93.4
75,93.45
76,93.46
77,93.43
78,93.5
79,93.51
80,93.54
81,93.57
82,93.56
83,93.68
84,93.69
85,93.77
86,93.78
87,93.75
88,93.77
89,93.79
90,93.77
91,93.87
92,93.9
93,93.87
94,93.93
95,93.94
96,93.98
97,93.97
98,93.98
99,94.08
100,94.07
