Round,Accuracy
1,8.2
2,9.27
3,10.66
4,7.15
5,10.71
6,10.74
7,8.96
8,10.28
9,11.5
10,10.98
11,9.78
12,10.52
13,10.1
14,10.81
15,11.95
16,12.28
17,11.23
18,9.74
19,9.42
20,8.34
21,9.09
22,11.48
23,11.05
24,13.38
25,10.87
26,9.77
27,10.32
28,7.69
29,9.62
30,9.36
31,7.41
32,9.96
33,10.91
34,10.19
35,9.36
36,11.77
37,11.15
38,10.02
39,11.62
40,10.93
41,10.27
42,11.51
43,11.29
44,11.59
45,10.48
46,9.16
47,11.54
48,11.06
49,11.22
50,11.5
51,11.75
52,9.72
53,10.87
54,11.31
55,12.4
56,12.37
57,13.49
58,11.54
59,10.48
60,11.48
61,11.05
62,11.98
63,11.7
64,11.92
65,12.43
66,11.85
67,12.26
68,13.5
69,13.25
70,11.82
71,11.15
72,12.15
73,10.88
74,11.96
75,12.71
76,12.48
77,11.42
78,10.61
79,10.01
80,9.84
81,9.78
82,10.06
83,11.25
84,10.84
85,11.22
86,11.12
87,11.55
88,11.93
89,12.73
90,13.04
91,12.46
92,10.71
93,10.88
94,11.06
95,11.44
96,9.52
97,11.06
98,10.81
99,10.52
100,10.88
101,12.33
102,12.95
103,12.71
104,12.47
105,12.66
106,12.68
107,12.27
108,12.16
109,12.17
110,11.96
111,11.36
112,11.41
113,11.72
114,12.4
115,12.68
116,12.09
117,12.87
118,12.57
119,12.52
120,12.34
121,11.74
122,12.09
123,11.57
124,10.92
125,10.82
126,10.69
127,10.79
128,10.34
129,10.43
130,10.39
131,11.0
132,10.32
133,11.01
134,11.38
135,12.31
136,12.75
137,12.84
138,13.35
139,12.2
140,12.39
141,11.36
142,10.73
143,12.05
144,12.34
145,12.73
146,12.23
147,12.35
148,12.94
149,14.24
150,14.18
