Round,Accuracy
1,15.46
2,23.7
3,26.4
4,31.59
5,34.52
6,36.86
7,39.92
8,41.85
9,44.03
10,45.4
11,47.14
12,48.25
13,49.35
14,50.19
15,50.89
16,52.33
17,52.96
18,54.09
19,54.77
20,55.81
21,56.11
22,57.04
23,57.77
24,58.23
25,59.2
26,59.54
27,60.04
28,60.41
29,61.28
30,61.77
31,61.26
32,62.29
33,62.79
34,63.09
35,63.67
36,63.95
37,64.13
38,64.48
39,64.91
40,64.6
41,65.51
42,65.66
43,65.78
44,66.15
45,66.34
46,66.64
47,66.63
48,66.89
49,67.19
50,67.21
51,67.57
52,67.45
53,67.76
54,67.72
55,68.04
56,68.18
57,68.34
58,68.41
59,68.46
60,68.43
61,68.55
62,68.68
63,68.69
64,68.75
65,68.73
66,68.93
67,68.63
68,68.77
69,68.87
70,68.64
71,68.91
72,68.99
73,68.77
74,68.74
75,69.09
76,68.9
77,68.93
78,68.77
79,69.11
80,68.94
81,68.78
82,69.0
83,68.89
84,69.01
85,68.96
86,68.72
87,68.85
88,68.68
89,68.62
90,68.88
91,68.97
92,68.75
93,68.76
94,68.7
95,68.78
96,68.44
97,68.69
98,68.82
99,68.57
100,68.63
101,68.64
102,68.66
103,68.51
104,68.46
105,68.58
106,68.85
107,68.57
108,68.43
109,68.4
110,68.39
111,68.41
112,68.39
113,68.41
114,68.32
115,68.38
116,68.42
117,68.33
118,68.26
119,68.37
120,68.28
121,68.27
122,68.36
123,68.29
124,68.31
125,68.27
126,68.19
127,68.27
128,68.27
129,68.29
130,68.29
131,68.34
132,68.28
133,68.28
134,68.27
135,68.24
136,68.29
137,68.16
138,68.2
139,68.15
140,68.23
141,68.33
142,68.36
143,68.35
144,68.34
145,68.12
146,68.32
147,68.38
148,68.3
149,68.37
150,68.29
