Round,Accuracy
1,8.06
2,9.86
3,10.2
4,11.66
5,8.96
6,8.29
7,13.07
8,11.98
9,17.38
10,17.48
11,16.73
12,15.74
13,17.93
14,21.02
15,17.07
16,17.27
17,18.19
18,17.44
19,17.75
20,14.4
21,18.34
22,16.41
23,18.1
24,18.58
25,17.24
26,20.77
27,22.66
28,20.05
29,18.82
30,19.65
31,17.77
32,20.91
33,20.55
34,22.02
35,19.98
36,17.79
37,20.69
38,19.69
39,21.91
40,23.97
41,22.7
42,27.07
43,22.76
44,24.85
45,22.98
46,22.52
47,24.46
48,26.44
49,27.39
50,27.2
51,27.79
52,27.61
53,27.63
54,27.5
55,26.02
56,27.88
57,29.87
58,29.58
59,28.82
60,27.76
61,26.63
62,25.65
63,26.45
64,25.64
65,24.7
66,24.52
67,24.9
68,26.04
69,26.06
70,27.93
71,26.78
72,27.65
73,27.77
74,27.22
75,28.2
76,29.05
77,27.48
78,25.82
79,25.3
80,26.3
81,27.55
82,27.91
83,26.99
84,27.62
85,29.46
86,30.64
87,31.04
88,31.74
89,31.56
90,33.18
91,32.09
92,32.2
93,31.24
94,31.4
95,32.59
96,32.87
97,31.31
98,31.05
99,30.44
100,29.82
