Round,Accuracy
1,70.525
2,74.99166666666666
3,77.60833333333333
4,79.51666666666667
5,80.53333333333333
6,81.6
7,82.35
8,82.90833333333333
9,83.59166666666667
10,83.775
11,84.11666666666666
12,84.125
13,84.525
14,84.43333333333334
15,84.85
16,84.91666666666667
17,84.98333333333333
18,85.10833333333333
19,85.39166666666667
20,85.25
21,85.65833333333333
22,85.66666666666667
23,85.86666666666666
24,85.84166666666667
25,86.075
26,86.23333333333333
27,86.275
28,86.125
29,86.375
30,86.45833333333333
31,86.50833333333334
32,86.49166666666666
33,86.54166666666667
34,86.59166666666667
35,86.49166666666666
36,86.73333333333333
37,86.74166666666666
38,86.85
39,86.80833333333334
40,86.88333333333334
41,86.925
42,87.025
43,87.05833333333334
44,87.34166666666667
45,87.44166666666666
46,87.18333333333334
47,87.125
48,87.46666666666667
49,87.45833333333333
50,87.4
51,87.35
52,87.525
53,87.575
54,87.45833333333333
55,87.68333333333334
56,87.63333333333334
57,87.675
58,87.71666666666667
59,87.7
60,87.625
61,87.88333333333334
62,87.95
63,87.90833333333333
64,87.93333333333334
65,87.8
66,87.975
67,87.90833333333333
68,88.09166666666667
69,88.09166666666667
70,88.1
71,88.075
72,88.13333333333334
73,88.11666666666666
74,88.25833333333334
75,88.1
76,88.35833333333333
77,88.16666666666667
78,88.40833333333333
79,88.3
80,88.25833333333334
81,88.35833333333333
82,88.6
83,88.58333333333333
84,88.58333333333333
85,88.7
86,88.6
87,88.525
88,88.54166666666667
89,88.44166666666666
90,88.675
91,88.49166666666666
92,88.65
93,88.75
94,88.6
95,88.84166666666667
96,88.73333333333333
97,88.825
98,88.85833333333333
99,88.75
100,88.83333333333333
101,88.86666666666666
102,88.9
103,88.9
104,88.66666666666667
105,88.91666666666667
106,88.78333333333333
107,88.85833333333333
108,88.99166666666666
109,88.83333333333333
110,89.03333333333333
111,88.90833333333333
112,89.11666666666666
113,88.94166666666666
114,89.16666666666667
115,89.15
116,89.05833333333334
117,89.10833333333333
118,89.05
119,89.08333333333333
120,89.05
121,89.125
122,89.025
123,89.05
124,89.125
125,89.15833333333333
126,89.075
127,89.05833333333334
128,88.96666666666667
129,89.16666666666667
130,89.04166666666667
131,89.19166666666666
132,89.15
133,88.925
134,89.24166666666666
135,89.15
136,89.225
137,89.2
138,89.05
139,89.28333333333333
140,89.15
141,89.25
142,89.11666666666666
143,89.225
144,89.175
145,89.24166666666666
146,89.13333333333334
147,89.20833333333333
148,89.15833333333333
149,89.23333333333333
150,89.24166666666666
