Round,Accuracy
1,8.59
2,8.34
3,16.1
4,13.63
5,14.5
6,14.46
7,16.63
8,16.93
9,18.59
10,17.96
11,16.22
12,14.57
13,18.02
14,17.28
15,19.34
16,18.43
17,14.89
18,19.34
19,19.98
20,19.97
21,22.0
22,21.95
23,22.39
24,20.43
25,23.12
26,23.97
27,22.09
28,25.24
29,28.53
30,26.9
31,25.76
32,24.48
33,24.88
34,24.13
35,24.41
36,27.19
37,25.89
38,25.61
39,25.48
40,22.5
41,25.13
42,25.03
43,23.14
44,26.59
45,26.58
46,26.23
47,24.21
48,23.95
49,28.23
50,27.75
51,29.12
52,28.95
53,28.28
54,26.21
55,28.23
56,27.37
57,27.42
58,28.48
59,27.43
60,30.38
61,32.47
62,32.03
63,29.97
64,29.72
65,27.83
66,28.35
67,30.05
68,29.36
69,28.79
70,29.32
71,31.52
72,28.98
73,28.88
74,29.25
75,28.64
76,27.79
77,28.14
78,28.11
79,27.65
80,25.59
81,24.7
82,25.31
83,25.96
84,26.82
85,27.27
86,27.07
87,26.92
88,26.21
89,25.52
90,25.43
91,23.92
92,22.07
93,24.7
94,25.8
95,25.63
96,24.15
97,24.24
98,24.06
99,26.73
100,26.87
