Round,Accuracy
1,9.93
2,11.9
3,12.71
4,15.11
5,11.64
6,14.28
7,13.31
8,13.42
9,11.36
10,13.28
11,16.72
12,16.2
13,16.26
14,15.72
15,12.35
16,13.69
17,13.52
18,15.97
19,14.11
20,14.81
21,16.59
22,18.17
23,20.3
24,25.7
25,22.48
26,24.48
27,25.74
28,24.81
29,25.85
30,26.15
31,28.66
32,27.96
33,29.7
34,25.55
35,23.9
36,23.43
37,26.12
38,28.36
39,27.69
40,30.48
41,25.32
42,26.91
43,29.48
44,31.29
45,32.12
46,32.94
47,30.67
48,28.43
49,29.46
50,30.42
51,29.37
52,29.47
53,31.21
54,29.25
55,28.07
56,25.24
57,26.91
58,27.24
59,26.21
60,24.39
61,24.48
62,26.76
63,28.41
64,29.61
65,29.24
66,29.15
67,28.03
68,28.8
69,27.77
70,28.76
71,26.6
72,26.27
73,25.55
74,27.99
75,27.12
76,28.04
77,29.24
78,29.56
79,29.26
80,28.07
81,29.42
82,30.4
83,32.84
84,33.42
85,33.94
86,33.16
87,34.42
88,33.06
89,32.2
90,32.16
91,30.49
92,31.59
93,31.78
94,32.19
95,31.52
96,30.31
97,31.64
98,32.65
99,33.85
100,31.75
