Round,Accuracy
1,9.07
2,17.12
3,21.88
4,13.86
5,13.64
6,10.66
7,9.04
8,9.54
9,8.05
10,11.94
11,13.41
12,14.48
13,11.12
14,14.84
15,14.49
16,15.77
17,14.85
18,18.06
19,15.75
20,16.95
21,20.83
22,20.88
23,17.4
24,17.91
25,17.32
26,20.06
27,21.33
28,24.54
29,24.45
30,24.92
31,23.89
32,20.75
33,16.94
34,17.29
35,20.83
36,18.95
37,19.58
38,20.87
39,23.17
40,17.84
41,17.18
42,20.61
43,18.35
44,19.97
45,18.13
46,19.25
47,20.26
48,20.41
49,18.93
50,22.23
51,22.88
52,22.61
53,20.11
54,21.06
55,20.52
56,21.56
57,22.54
58,25.13
59,25.21
60,25.53
61,25.53
62,25.88
63,24.28
64,23.07
65,25.75
66,24.89
67,24.24
68,21.45
69,21.43
70,20.67
71,19.52
72,21.41
73,22.22
74,22.02
75,22.39
76,22.04
77,24.99
78,24.46
79,25.54
80,26.0
81,26.74
82,28.13
83,28.67
84,28.44
85,29.6
86,27.67
87,28.47
88,28.83
89,28.16
90,25.84
91,27.94
92,29.2
93,28.34
94,28.11
95,27.23
96,26.26
97,26.1
98,27.49
99,26.7
100,28.48
