Round,Accuracy
1,91.06
2,93.09
3,94.29
4,94.96
5,95.65
6,96.14
7,96.37
8,96.61
9,96.74
10,96.94
11,97.07
12,97.17
13,97.4
14,97.37
15,97.52
16,97.54
17,97.57
18,97.56
19,97.62
20,97.66
21,97.71
22,97.59
23,97.74
24,97.72
25,97.7
26,97.82
27,97.82
28,97.82
29,97.87
30,97.75
31,97.87
32,97.89
33,97.82
34,97.89
35,97.82
36,97.9
37,97.87
38,97.87
39,97.86
40,97.8
41,97.87
42,97.92
43,97.87
44,97.92
45,97.89
46,97.83
47,97.9
48,97.87
49,97.92
50,97.88
51,97.92
52,97.92
53,97.92
54,97.89
55,97.92
56,97.9
57,97.91
58,97.94
59,97.88
60,97.92
61,97.92
62,97.92
63,97.9
64,97.89
65,97.9
66,97.94
67,97.92
68,97.92
69,97.93
70,97.92
71,97.94
72,97.91
73,97.93
74,97.91
75,97.89
76,97.93
77,97.93
78,97.88
79,97.92
80,97.92
81,97.93
82,97.93
83,97.91
84,97.89
85,97.91
86,97.91
87,97.9
88,97.91
89,97.91
90,97.91
91,97.89
92,97.92
93,97.92
94,97.91
95,97.89
96,97.89
97,97.91
98,97.89
99,97.89
100,97.92
