Round,Accuracy
1,13.84
2,15.92
3,11.09
4,12.54
5,13.06
6,13.87
7,10.99
8,14.86
9,16.67
10,18.06
11,20.19
12,16.62
13,18.91
14,19.90
15,18.61
16,14.41
17,16.79
18,18.25
19,14.80
20,17.44
21,18.09
22,16.18
23,15.09
24,15.84
25,16.27
26,17.08
27,13.56
28,13.75
29,14.48
30,16.25
31,18.48
32,20.42
33,23.34
34,23.62
35,23.84
36,20.85
37,22.57
38,23.58
39,23.00
40,23.87
41,21.20
42,20.57
43,22.94
44,24.83
45,25.29
46,27.38
47,24.12
48,26.26
49,25.36
50,27.85
51,27.52
52,27.15
53,28.45
54,26.93
55,28.71
56,28.30
57,27.98
58,25.80
59,26.10
60,25.59
61,24.55
62,23.85
63,22.07
64,21.78
65,24.45
66,26.66
67,25.30
68,24.55
69,25.61
70,25.38
71,24.72
72,24.89
73,23.86
74,23.94
75,25.63
76,25.67
77,26.66
78,26.21
79,25.34
80,24.99
81,23.81
82,24.16
83,23.13
84,23.09
85,25.79
86,25.02
87,25.63
88,27.48
89,27.91
90,26.76
91,25.23
92,25.18
93,24.57
94,24.66
95,25.08
96,25.50
97,24.72
98,23.75
99,25.10
100,25.89
